,도시,DATE,SO2,CO,O3,NO2,PM10
1041,대구,2001-02-01,0.0122403895742352,1.0506085973504402,0.0145823018830592,0.0397126271845356,71.41915692020669
1042,대구,2001-03-01,0.0090853035651028,0.9958821725804682,0.0213540621840057,0.0330316974155972,98.30802760056406
1043,대구,2001-04-01,0.0073249692864989,0.745410300563992,0.0269052599011873,0.0328961641038781,78.00999452257739
1044,대구,2001-05-01,0.00860287863244,0.6960010624869979,0.0276244216426905,0.0293998728481782,68.13420164810667
1045,대구,2001-06-01,0.0064559894723169,0.7087122562662116,0.024417477807452,0.0272931133383928,66.19290935584404
1046,대구,2001-07-01,0.0047217485528052,0.5812414330872995,0.0217531102641739,0.0256393733235013,50.23235115680215
1047,대구,2001-08-01,0.0050208018874727,0.6702311694304438,0.0223062717517113,0.0268106074483519,45.969381373215576
1048,대구,2001-09-01,0.0051985582471177,0.6343951023349721,0.0215476632778406,0.0303566974177876,43.02485324988755
1049,대구,2001-10-01,0.0059235348203116,0.7396278075663274,0.0133057951337271,0.0357998494018558,56.60338986093902
1050,대구,2001-11-01,0.0094066349310677,0.9352218147155744,0.0093459735502093,0.0391503087329715,78.83635036321606
1051,대구,2001-12-01,0.0080312673539609,0.8806991753788042,0.0096713902974041,0.034588424216465,68.25634726528233
1052,대구,2002-01-01,0.007632881176576,0.9903313931047776,0.0128673773834082,0.0312812900431207,68.33676177095515
1053,대구,2002-02-01,0.0093819153445338,0.9561695921693444,0.013054335248453,0.035681206466278,83.341929084021
1054,대구,2002-03-01,0.006884353481803,0.8122392218976554,0.0172952324344959,0.0302857936449739,113.45038569890724
1055,대구,2002-04-01,0.0059553053412099,0.7223076897880933,0.0220186552381002,0.028039332306419,90.34419246297408
1056,대구,2002-05-01,0.0047407108012212,0.6362868378699619,0.0236142059099658,0.0294103540644155,57.701964250359936
1057,대구,2002-06-01,0.0044112185828555,0.5697112186552672,0.024320055624824,0.0277112528726176,59.4971220817775
1058,대구,2002-07-01,0.0040346850121719,0.5608066360871323,0.0191264781198434,0.0200773643701071,49.50805383874477
1059,대구,2002-08-01,0.0036414306176505,0.5134191820701051,0.0182669888338468,0.018058993848678,45.0016902087456
1060,대구,2002-09-01,0.0041887770555966,0.6000514781786837,0.0189285166997085,0.0201834234336148,49.72051515953438
1061,대구,2002-10-01,0.005865609886913,0.768622593028131,0.0154911069487229,0.0273555151791917,63.30471109835205
1062,대구,2002-11-01,0.0072072071145961,0.90019130761032,0.0162632077063815,0.0266801779447733,67.41624060897313
1063,대구,2002-12-01,0.0072621565600258,0.8983514440794196,0.0158119162723765,0.0284848366263699,60.78938531823619
1064,대구,2003-01-01,0.0082099520311385,0.9963962700428918,0.0169131694907425,0.0313899345218982,65.00871700136994
1065,대구,2003-02-01,0.0065886067725057,0.7661747769969396,0.0180903914919833,0.032552081223776,64.466955474396
1066,대구,2003-03-01,0.0055236709476326,0.6852106052358067,0.0225205456041322,0.0277833790925601,60.97401518416056
1067,대구,2003-04-01,0.0054516299605659,0.6905283293536949,0.0267233698667603,0.0264109506072251,63.03471479614485
1068,대구,2003-05-01,0.0056545398321257,0.6349168016300164,0.0304243419374419,0.0252351971133309,71.19055936464484
1069,대구,2003-06-01,0.0048656142276705,0.5990127008949954,0.029171560021847,0.0219530564724137,65.2653314936396
1070,대구,2003-07-01,0.0038210688839577,0.6026747053636067,0.0189153433730036,0.018838271585874,46.79715842002587
1071,대구,2003-08-01,0.0043961811343592,0.6159746831732114,0.0189371696756391,0.0172403956322177,44.73708875824703
1072,대구,2003-09-01,0.0045940541201007,0.6817069610779356,0.0188596046449291,0.0210511564246712,50.6066993596239
1073,대구,2003-10-01,0.0054762066551751,0.7842318268007578,0.0170541123171506,0.0275814173673545,53.21647347785284
1074,대구,2003-11-01,0.0060910052013642,0.7321208409246418,0.0130521733816552,0.0306741231103303,56.75986517956852
1075,대구,2003-12-01,0.0078298856799741,0.8744049916995797,0.0136978332878602,0.0316785435925992,58.86316541278921
1076,대구,2005-01-01,0.0086670249163761,1.232944159396009,0.0157000389440166,0.0300958067314442,53.64542284434695
1077,대구,2005-02-01,0.0081462856255925,1.1957544127090716,0.0196024670108301,0.0256897549375114,50.09681126088634
1078,대구,2005-03-01,0.0076312907705784,0.941459961881028,0.0244547849200111,0.0293162770701235,61.63913763849861
1079,대구,2005-04-01,0.006343477310236,0.7478555777322694,0.0276962520204735,0.025635424669747,68.45638305144388
1080,대구,2005-05-01,0.0057996847796356,0.6706418018102751,0.0317953704491828,0.024947459027284,56.91645370157011
1081,대구,2005-06-01,0.0049461699753626,0.6549585562759812,0.0305645521562612,0.021603877838853,58.25396702187412
1082,대구,2005-07-01,0.0039289644357363,0.7371387401805095,0.0230517774509199,0.0202726670501294,57.30036467851139
1083,대구,2005-08-01,0.0043590326853281,0.6485671904801658,0.0194537089858868,0.019603188944828,47.45584116088366
1084,대구,2005-09-01,0.0048398664004044,0.6370285972677103,0.0188248205262806,0.0207092765641739,42.996910273789
1085,대구,2005-10-01,0.0058310452137349,0.6493637156701483,0.0187879300675458,0.0258792215819176,48.80155832471782
1086,대구,2005-11-01,0.0066483843010771,0.8681873827157038,0.015707729361585,0.0299367732313334,55.77552270702653
1087,대구,2005-12-01,0.0090358845526621,0.8149754169143659,0.0124403589543649,0.0274163326469115,57.98415905260335
1088,대구,2006-01-01,0.0092823592594296,0.9056756568029118,0.0127849586260242,0.0304940337275678,60.9015497630726
1089,대구,2006-02-01,0.0088995298510757,0.7700318073833081,0.0159197169498766,0.0269709316537557,61.42747103332329
